Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE"
8,IIT Roorkee,117,,8038,Meerut Institute of Technology,NH-58 Baral Partapur,Bypass Road,Opposite Big Bite Restaurant,250103,Meerut,Uttar Pradesh,390,0,0,152,99,135,116,43,108,0,0,0,0,0,0,0,0
8,IIT Roorkee,117,,8039,JP Institute of Engineering & Technology,Post Rajpura,Mawana Road,,250001,Meerut,Uttar Pradesh,340,0,0,152,99,135,116,49,123,0,128,156,72,66,8,0,0
8,IIT Roorkee,118,,8040,IFTM University,Lodhipur Rajput,NH-24 Delhi Road,Pakbada,244102,Moradabad,Uttar Pradesh,360,152,60,97,114,151,59,59,62,50,151,177,54,126,13,176,40
8,IIT Roorkee,118,,8041,Moradabad Institute of Technology,Ram Ganga Vihar Phase-II,MDA Colony,Kanth Road,244001,Moradabad,Uttar Pradesh,195,108,43,52,62,109,43,63,66,27,80,59,18,0,0,0,0
8,IIT Roorkee,132,,8042,MS Infoline Services,A-33 2nd Floor,Sector-64,,201307,Noida,Uttar Pradesh,310,113,138,163,88,113,138,113,138,125,125,125,125,214,8,193,29
8,IIT Roorkee,132,,8043,TAI Infotech Pvt Ltd,1st Floor H-159,Sector-63,Behind Haldiram,201301,Noida,Uttar Pradesh,160,73,88,104,57,73,88,72,89,80,80,80,80,0,0,0,0
8,IIT Roorkee,132,,8044,Institute of Management Studies,A-8B IMS Campus,Sector-62,,201303,Noida,Uttar Pradesh,100,46,55,65,36,46,55,45,56,50,50,50,50,86,4,78,12
8,IIT Roorkee,138,,8045,NC College of Engineering,Rohtak Panipat Highway,Israna,,132107,Panipat,Haryana,220,96,85,91,50,0,0,35,46,0,108,177,8,0,4,81,18
8,IIT Roorkee,138,,8046,Samalkha Group of Institutions,Samalkha Hathwala Road NH-1,Samalkha,,132115,Panipat,Haryana,210,72,64,71,39,0,0,24,31,0,0,0,0,0,0,0,0
8,IIT Roorkee,139,,8047,Sri Sai College of Engineering & Technology,Badhani,Dalhousie Road,,145001,Pathankot,Punjab,330,109,63,89,79,109,63,120,43,26,156,182,0,152,8,90,25
8,IIT Roorkee,140,,8048,Bhai Gurdas Institute of Engineering & Technology,Village Ghabdan,Main Patiala Road,,148001,Sangrur,Punjab,700,176,325,282,119,0,0,53,148,249,0,183,66,241,10,199,51
8,IIT Roorkee,140,,8049,Patiala Institute of Engineering & Technology for Women,12 Kms. Stone,Patiala-Sirhind  Road,Village Nandpur Kesho,147001,Patiala,Punjab,330,106,195,165,69,0,0,37,105,233,0,172,62,184,7,174,45
8,IIT Roorkee,152,,8050,Quantum School of Technology,22 Kms. Milestone Mandawar,Roorkee-Dehradun Highway NH-73,Chhutmalpur,247167,Roorkee,Uttarakhand,290,173,78,43,208,173,78,15,126,63,168,110,120,0,0,0,0
8,IIT Roorkee,152,,8051,College of Engineering Roorkee,7 Kms. from Roorkee on Roorkee-Haridwar Road NH-58,Post Box No. 27 Vardhmanpuram,District Haridwar,247667,Roorkee,Uttarakhand,180,111,50,28,133,111,50,15,126,39,105,68,74,88,33,100,21
8,IIT Roorkee,152,,8052,Institute of Management Studies,10 Kms. from Roorkee ,on Roorkee-Dehradun Highway,Village Karundi,247667,Roorkee,Uttarakhand,90,56,25,14,67,56,25,9,72,20,53,34,37,59,22,67,14
8,IIT Roorkee,152,,8053,Institute of Technology Roorkee,9th Milestone,Roorkee-Dehradun Highway,Village-Kishanpur,247667,Roorkee,Uttarakhand,90,56,25,14,67,56,25,9,72,20,53,34,37,59,22,67,14
8,IIT Roorkee,152,,8054,Roorkee Institute of Technology,8th Milestone,Roorkee-Dehradun Road,Puhana,247667,Roorkee,Uttarakhand,170,99,44,12,57,99,45,6,45,36,95,65,70,57,22,101,21
8,IIT Roorkee,166,,8055,Bells Institute of Management & Technology,Knowledge City Mehli,Near Passport Office,Mehli,171013,Shimla,Himachal Pradesh,250,149,72,121,100,149,72,64,57,0,231,220,0,224,7,139,83
8,IIT Roorkee,166,,8056,IEC University,Plot No. 7&10 Atal Shiksha Nagar,Kalujhanda PO-Mandhala,Barotiwala Baddi,173205,Baddi,Himachal Pradesh,150,91,43,52,44,91,43,65,58,0,136,105,0,132,4,87,52
8,IIT Roorkee,168,,8057,Royal Institute of Management & Technology,VPO-Chidana,NH-71A Gohana,Panipat-Rohtak Road,131301,Sonepat,Haryana,220,0,0,70,51,48,113,8,53,100,80,56,143,81,2,0,36
8,IIT Roorkee,168,,8058,Mahavir Swami Institute of Technology,Near O.P. Jindal Global University,Village-Jagdishpur,,131030,Sonepat,Haryana,180,0,0,62,45,39,89,8,55,0,0,0,0,0,0,0,0
8,IIT Roorkee,194,,8059,Haryana Engineering College,Old Chhachhrauli Road,Jagadhri,,135003,Yamuna Nagar,Haryana,300,99,7,124,81,122,72,84,76,40,143,158,76,45,6,21,26
8,IIT Roorkee,194,,8060,Yamuna Group of Institutions,Village Gadholi,PO-Gadhola,Jagadhri-Ambala Road,133103,Yamuna Nagar,Haryana,220,82,5,98,64,93,54,77,69,32,115,109,52,23,3,16,20
