Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE",PwD-Friendly
5,IIT KANPUR,90,,5045,Dr. Ambedkar Institute of Technology For Handicapped,Opp. Rama Dental  Awadhpuri ,Kanpur Uttar Pradesh India ,,208024,Kanpur,Uttar Pradesh,151,96,56,39,112,97,56,36,65,0,0,0,0,0,0,0,0,YES
5,IIT KANPUR,109,,5046,Integral University,Dasauli P.O.Bas-ha Kursi Road Lucknow,Uttar Pradesh India,,226026,Lucknow,Uttar Pradesh,431,0,0,0,0,0,0,0,0,43,98,88,53,369,32,315,117,YES
5,IIT KANPUR,109,,5047,Sri Ram Swaroop Memorial College Of Engineering And Management,Tiwariganj Faizabad Road Lucknow,Uttar Pradesh India,,227105,Lucknow,Uttar Pradesh,210,141,97,115,96,141,64,78,112,62,139,126,75,157,14,146,55,YES
5,IIT KANPUR,109,,5048,Azad Group of Institutions,Azad Puram Adjacent CRPF CAMP, Post Chandrawal  Via Banglabazar Road-Lucknow,Uttar Pradesh India,226002,Lucknow,Uttar Pradesh,430,285,197,234,193,285,130,157,227,111,251,227,135,277,24,314,117,YES
5,IIT KANPUR,109,,5049,Bansal Institute of Engineering and Technology,NH 24 Near Seva Hospital,Kamlabad Sitapur Road Lucknow,Uttar Pradesh India,226021,Lucknow,Uttar Pradesh,210,121,84,99,82,121,55,67,96,65,146,132,79,149,13,146,55,YES
5,IIT KANPUR,109,,5050,Asia School Engineering and Management,12  Milestone Kursi Road,Near Integral University-Lucknow,Uttar Pradesh India,226026,Lucknow,Uttar Pradesh,170,101,70,83,68,101,46,56,80,52,119,107,64,120,11,110,41,YES
5,IIT KANPUR,109,,5051,Surya Group of Institutions,Village Gaura Raebareli Road ,Mohanlalganj Lucknow,Uttar Pradesh India,227305,Lucknow,Uttar Pradesh,140,87,61,72,59,87,40,48,70,43,98,88,53,111,10,103,38,YES
5,IIT KANPUR,109,,5052,Ambalika Institute Of Management And Technology,Maurawan Road,Mohanlalganj-Lucknow,Uttar Pradesh India,226301,Lucknow,Uttar Pradesh,140,87,61,72,59,87,40,48,70,43,98,88,53,111,10,88,33,YES
5,IIT KANPUR,109,,5053,G.C.R.G Memorial Trusts Group of Institutions,Chandrika Devi Road,Bakshi Ka Talab-Lucknow,Uttar Pradesh India,227202,Lucknow,Uttar Pradesh,150,87,61,72,59,87,40,48,70,46,105,95,56,120,11,110,41,YES
5,IIT KANPUR,109,,5054,Dr. M C Saxena Group of Colleges,"171, BarawanKala Mall Road",Dubagga-IIM Bypass Lucknow ,Uttar Pradesh India,226101,Lucknow,Uttar Pradesh,140,87,61,72,59,87,40,48,70,43,98,88,53,93,8,103,38,YES
