Zone ID,Zone,City,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-EC1,S1-ME1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CE1,S5-CS1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE"
7,IIT MADRAS,Chennai,4994,7036,"Edu Surge, chennai",Old No. 74 New No. 165 Chettiyar Hall 3rd Floor,TTK ROAD,ALWARPET,600018,Chennai,Tamil Nadu,250,100,150,150,100,150,100,100,140,140,80,100,150,240,0,150,70
7,IIT MADRAS,Chennai,754,7037,G.K.M College of Engineering and Technology,G.K.M Nagar,Perungalathur,Near Tambaram,600063,Chennai,Tamil Nadu,400,200,200,200,200,200,200,200,200,140,200,200,180,240,0,180,150
7,IIT MADRAS,Chennai,244,7038,KCG College of Technology,KCG nagar,Rajiv Gandhi Salai Karapakkam,Old Mahabalipuram Road,600097,Chennai,Tamil Nadu,250,100,150,150,100,150,100,100,150,120,100,100,150,240,0,150,70
7,IIT MADRAS,Chennai,183,7039,Rajalakshmi Engineering College,Rajalakshmi Nagar,Thandalam,,602105,Chennai,Tamil Nadu,250,100,150,150,100,150,100,80,140,100,80,80,160,180,0,160,70
7,IIT MADRAS,Chennai,779,7040,S.A. Engineering College,Poonnamalle Avadi Road,Veeraragavapuram,Thiruverkadu,600077,Chennai,Tamil Nadu,450,100,150,150,300,150,100,130,100,100,80,80,160,0,0,160,80
7,IIT MADRAS,Chennai,766,7041,Saveetha Engineering College,Saveetha Nagar,Thandalam,,602105,Chennai,Tamil Nadu,250,100,150,150,100,150,100,80,120,100,80,80,150,0,0,150,70
7,IIT MADRAS,Chennai,773,7042,SKR Engineering College,Nazarathpet,Poonamallee,,600123,Chennai,Tamil Nadu,230,100,120,120,110,120,100,80,120,100,80,80,140,0,0,140,80
7,IIT MADRAS,Chennai,212,7043,SRM Easwari Engineering College,Bharathi Salai,Ramapuram,,600089,Chennai,Tamil Nadu,350,100,250,250,100,250,100,100,240,160,80,80,160,220,0,160,60
7,IIT MADRAS,Chennai,2516,7044,Tata Consultancy Services - ILP Centre,No 16 MARG Square,Rajiv Gandhi Salai,Old Mahabalipuram Road Karapakkam,600097,Chennai,Tamil Nadu,950,300,650,650,330,650,300,500,450,500,450,450,500,587,362,500,450
7,IIT MADRAS,Chennai,4487,7045,Zealous Services Head Office,New No 17 Old No 7 Ground & 1st Floor,Shafika Building Near Palmgrove Hotel,Kodambakkam high road Nungambakkam,600034,Chennai,Tamil Nadu,250,100,150,150,100,150,100,100,140,120,80,100,150,240,0,150,70
7,IIT MADRAS,Coimbatore,2981,7046,Akshaya College of Engineering & Technology,Kinathukadavu,,,642109,Coimbatore,Tamil Nadu,250,0,0,0,0,0,0,0,0,123,82,82,125,120,32,125,120
7,IIT MADRAS,Coimbatore,1761,7047,Dr. N.G.P. Educational Institutions,Dr. N.G.P Nagar,Kalapatti Road,,641048,Coimbatore,Tamil Nadu,450,164,266,287,135,287,184,182,166,245,163,163,250,245,62,250,200
7,IIT MADRAS,Coimbatore,842,7048,Info Institute of Engineering,NH209 Sathy Road,Kovilpalayam,,641107,Coimbatore,Tamil Nadu,250,100,150,143,67,143,92,122,108,126,84,84,125,128,32,125,115
7,IIT MADRAS,Coimbatore,870,7049,Kathir College of Engineering,Wisdom Tree,Neelambur Avinashi Road,,641062,Coimbatore,Tamil Nadu,400,100,150,143,67,143,92,123,112,120,80,80,128,120,32,127,115
7,IIT MADRAS,Coimbatore,1233,7050,RVS College of Engineering and Technology,No.242B Kumaran Kottam Campus E Block,Trichy Road Kannampalayam Post,Sulur Via,641402,Coimbatore,Tamil Nadu,400,94,147,144,68,144,92,123,107,0,0,0,0,0,0,0,0
7,IIT MADRAS,Coimbatore,2753,7051,Sri Eshwar College of Engineering,Kondampatti PO ,Vadasithur Via ,,641202,Coimbatore,Tamil Nadu,250,94,148,144,68,144,92,0,0,0,0,0,0,0,0,0,0
7,IIT MADRAS,Cuddalore,1742,7052,Krishnasamy College Of Engineering & Technology,Nellikuppam Main Road,Kumarapuram,,607109,Cuddalore,Tamil Nadu,200,69,112,122,30,120,60,64,36,88,72,70,117,177,8,117,21
7,IIT MADRAS,Cuddalore,4581,7053,Krishnasamy Institute of Post graduate Studies,Nellikuppam Main Road,Kumarapuram,,607110,Cuddalore,Tamil Nadu,200,60,120,110,30,112,69,64,42,89,76,77,118,0,0,117,0
7,IIT MADRAS,Dindigul,222,7054,PSNA ENGINEERING COLLEGE,Kothandaraman nagar,NH-209,,624622,Dindigul,Tamil Nadu,450,101,101,101,31,101,101,99,49,138,68,68,86,138,1,86,14
7,IIT MADRAS,Kanyakumari,1649,7055,Loyola Institute of Technology & Science,Loyola Nagar,Thovalai,,629302,Kanyakumari,Tamil Nadu,250,115,79,79,13,77,115,110,30,107,73,73,67,0,0,0,0
7,IIT MADRAS,Kanyakumari,840,7056,St.Xavier's Catholic College of Engineering,Chunkankadai,Nagercoil,,629003,Kanyakumari,Tamil Nadu,250,116,78,78,13,77,116,118,31,107,73,72,68,213,2,134,48
7,IIT MADRAS,Karur,226,7057,M. Kumaraswamy College of Engineering,National Highway,Thalavapalayam,Karur,639113,Karur,Tamil Nadu,230,36,76,76,26,76,36,36,34,52,21,20,46,52,0,45,20
7,IIT MADRAS,Madurai,1232,7058,K L N COLLEGE OF INFORMATION TECHNOLOGY,Madurai Pottapalayam,Kusavapatti Road Pottapalayam village,Pottapalayam P.O Manamadurai Taluk Sivagangai District,630611,Madurai,Tamil Nadu,500,120,130,130,100,130,120,120,130,150,100,100,150,201,39,100,100
