Zone ID	Zone	City Code	TCS ID 	Centre code	LISP	Add1	Add2	Add3	Pincode	City	State	Max	S1-ME1	S1-EC1	S2-ME2	S2-BT,CH,GG,MN,PH	S3-ME3	S3-EC2	S4-EC3	S4-AR,CY,IN,MA,PE	S5-CS1	S5-CE1	S6-CS2	S6-EE1	S7-CE2	S7-AG,EY,MT,PI	S8-EE2	S8-AE,TF,XL,XE
5	IIT KANPUR	77		5038	Shri Ram Institute Of Technology Campus CENTER 1	Near ITI madhotal	Jabalpur Madhya Pradesh India		482001	Jabalpur	Madhya Pradesh	300	159	140	167	35	158	140	137	29	122	137	198	61	187	72	241	18
5	IIT KANPUR	90		5039	Krishna Institute Of Technology	Gram Amliha Post Tatiya Gang	Tehsil Billhaur Kanpur		209217	Kanpur	Uttar Pradesh	300	159	92	65	186	159	92	53	97	197	103	192	108	147	54	116	168
5	IIT KANPUR	90		5040	Kanpur Institute of Technology	A-1 UPSIDC Industrial Area Rooma	Kanpur Allahabad RoadKanpur		208001	Kanpur	Uttar Pradesh	243	153	88	54	157	152	88	56	103	145	75	141	78	140	51	99	143
5	IIT KANPUR	90		5041	Dr Virendra Swarup Group of Institutions	Ragendra Swarup Knowledge City Kanpur Lucknow Highway	Near Azad Marg Chauraha  Unnao		209861	Kanpur	Uttar Pradesh	200	102	58	40	117	102	58	35	64	132	68	128	72	78	28	67	97
5	IIT KANPUR	90		5042	Allen House Institute of Technology	Kulgaon road	Rooma  kanpur		208008	Kanpur	Uttar Pradesh	200	101	58	35	104	101	58	35	64	132	68	128	72	73	26	65	94
5	IIT KANPUR	90		5043	PSIT - 1	Kanpur-Agra-New Delhi	National Highway-2 Bhauti-Kanpur		209305	Kanpur	Uttar Pradesh	200	126	73	43	126	127	72	61	112	120	62	116	65	0	0	0	0
5	IIT KANPUR	90		5044	PSIT - 2	Kanpur-Agra-New Delhi National Highway-2	Bhauti-Kanpur		209305	Kanpur	Uttar Pradesh	208	132	75	38	111	132	75	56	103	0	0	0	0	0	0	0	0
5	IIT KANPUR	90		5045	Dr. Ambedkar Institute of Technology For Handicapped	Opp. Rama Dental  Awadhpuri	Kanpur Uttar Pradesh India		208024	Kanpur	Uttar Pradesh	151	95	55	38	111	96	55	35	64	0	0	0	0	0	0	0	0
5	IIT KANPUR	109		5046	Integral University	Dasauli P.O.Bas-ha Kursi Road Lucknow	Uttar Pradesh India		226026	Lucknow	Uttar Pradesh	431	0	0	0	0	0	0	0	0	43	98	88	53	369	32	314	117
5	IIT KANPUR	109		5047	Sri Ram Swaroop Memorial College Of Engineering And Management	Tiwariganj Faizabad Road Lucknow	Uttar Pradesh India		227105	Lucknow	Uttar Pradesh	210	124	86	114	90	138	68	73	106	62	139	126	75	156	14	146	55
5	IIT KANPUR	109		5048	Azad Group of Institutions	Azad Puram Adjacent CRPF CAMP	Post Chandrawal  Via Banglabazar Road-Lucknow	Uttar Pradesh India	226002	Lucknow	Uttar Pradesh	430	253	175	233	185	281	138	150	217	111	250	227	135	276	24	313	117
5	IIT KANPUR	109		5049	Bansal Institute of Engineering and Technology	NH 24 Near Seva Hospital	Kamlabad Sitapur Road Lucknow	Uttar Pradesh India	226021	Lucknow	Uttar Pradesh	210	124	86	114	90	138	68	73	106	65	145	132	78	148	13	145	55
5	IIT KANPUR	109		5050	Asia School Engineering and Management	12  Milestone Kursi Road	Near Integral University-Lucknow	Uttar Pradesh India	226026	Lucknow	Uttar Pradesh	170	100	69	93	73	112	55	59	85	52	118	107	63	119	10	109	41
5	IIT KANPUR	109		5051	Surya Group of Institutions	Village Gaura Raebareli Road	Mohanlalganj Lucknow	Uttar Pradesh India	227305	Lucknow	Uttar Pradesh	140	83	57	75	60	91	45	48	70	43	97	88	52	110	9	102	37
5	IIT KANPUR	109		5052	Ambalika Institute Of Management And Technology	Maurawan Road	Mohanlalganj-Lucknow	Uttar Pradesh India	226301	Lucknow	Uttar Pradesh	140	82	56	75	60	91	44	48	70	43	97	88	52	110	9	87	32
