      1  t, IN, 150, 6
      1  t, IN, 153, 6
      1  t, IN, 154, 8
      1  t, IN, 159, 2
      1  t, IN, 162, 3
      1  t, IN, 163, 4
      1  t, IN, 169, 2
      1  t, IN, 171, 4
      1  t, IN, 186, 2
      1  t, IN, 187, 5
      1  t, IN, 192, 6
      1  t, IN, 39, 8
      1  t, IN, 4, 2
      1  t, IN, 46, 6
      1  t, IN, 49, 3
      1  t, IN, 50, 4
      1  t, IN, 5, 3
      1  t, IN, 56, 3
      1  t, IN, 57, 2
      1  t, IN, 63, 7
      1  t, IN, 70, 3
      1  t, IN, 77, 5
      1  t, IN, 78, 3
      1  t, IN, 80, 2
      1  t, IN, 84, 4
      1  t, IN, 8, 5
      1  t, IN, 85, 7
      1  t, IN, 90, 5
      1  t, IN, 96, 7
      1  t, MA, 100, 6
      1  t, MA, 104, 1
      1  t, MA, 105, 1
      1  t, MA, 109, 5
      1  t, MA, 117, 8
      1  t, MA, 119, 2
      1  t, MA, 140, 8
      1  t, MA, 146, 2
      1  t, MA, 159, 2
      1  t, MA, 167, 2
      1  t, MA, 22, 6
      1  t, MA, 2, 5
      1  t, MA, 25, 5
      1  t, MA, 3, 2
      1  t, MA, 41, 7
      1  t, MA, 49, 3
      1  t, MA, 67, 8
      1  t, MA, 71, 6
      1  t, MA, 7, 5
      1  t, MA, 87, 4
      1  t, MA, 97, 6
      1  t, ME, 101, 1
      1  t, ME, 103, 1
      1  t, ME, 120, 1
      1  t, ME, 125, 7
      1  t, ME, 129, 1
      1  t, ME, 130, 7
      1  t, ME, 136, 3
      1  t, ME, 13, 8
      1  t, ME, 139, 8
      1  t, ME, 155, 7
      1  t, ME, 156, 6
      1  t, ME, 165, 8
      1  t, ME, 171, 4
      1  t, ME, 174, 7
      1  t, ME, 18, 1
      1  t, ME, 181, 1
      1  t, ME, 190, 7
      1  t, ME, 194, 8
      1  t, ME, 21, 3
      1  t, ME, 24, 7
      1  t, ME, 28, 1
      1  t, ME, 30, 2
      1  t, ME, 35, 2
      1  t, ME, 37, 3
      1  t, ME, 51, 7
      1  t, ME, 60, 2
      1  t, ME, 61, 7
      1  t, ME, 81, 3
      1  t, ME, 84, 4
      1  t, ME, 89, 1
      1  t, ME, 96, 7
      1  t, ME, 98, 1
      1  t, MT, 102, 3
      1  t, MT, 130, 7
      1  t, MT, 131, 3
      1  t, MT, 15, 1
      1  t, MT, 158, 2
      1  t, MT, 169, 2
      1  t, MT, 170, 6
      1  t, MT, 17, 4
      1  t, MT, 178, 7
      1  t, MT, 187, 5
      1  t, MT, 41, 7
      1  t, PE, 65, 4
      1  t, PH, 107, 8
      1  t, PH, 109, 5
      1  t, PH, 113, 1
      1  t, PH, 118, 8
      1  t, PH, 119, 2
      1  t, PH, 139, 8
      1  t, PH, 146, 2
      1  t, PH, 153, 6
      1  t, PH, 16, 7
      1  t, PH, 175, 7
      1  t, PH, 177, 1
      1  t, PH, 178, 7
      1  t, PH, 184, 3
      1  t, PH, 187, 5
      1  t, PH, 192, 6
      1  t, PH, 193, 7
      1  t, PH, 22, 6
      1  t, PH, 23, 1
      1  t, PH, 3, 2
      1  t, PH, 48, 8
      1  t, PH, 57, 2
      1  t, PH, 63, 7
      1  t, PH, 73, 2
      1  t, PH, 7, 5
      1  t, PH, 78, 3
      1  t, PH, 81, 3
      1  t, PH, 97, 6
      1  t, PI, 122, 7
      1  t, PI, 141, 4
      1  t, PI, 150, 6
      1  t, PI, 154, 8
      1  t, PI, 158, 2
      1  t, PI, 178, 7
      1  t, PI, 19, 2
      1  t, PI, 23, 1
      1  t, PI, 33, 5
      1  t, PI, 38, 6
      1  t, PI, 41, 7
      1  t, PI, 44, 7
      1  t, PI, 73, 2
      1  t, PI, 8, 5
      1  t, TF, 141, 4
      1  t, TF, 155, 7
      1  t, TF, 29, 6
      1  t, TF, 76, 3
      1  t, XE, 121, 1
      1  t, XE, 123, 2
      1  t, XE, 132, 8
      1  t, XE, 141, 4
      1  t, XE, 144, 7
      1  t, XE, 15, 1
      1  t, XE, 19, 2
      1  t, XE, 24, 7
      1  t, XE, 3, 2
      1  t, XE, 54, 7
      1  t, XE, 66, 5
      1  t, XL, 100, 6
      1  t, XL, 105, 1
      1  t, XL, 112, 2
      1  t, XL, 117, 8
      1  t, XL, 123, 2
      1  t, XL, 126, 2
      1  t, XL, 13, 8
      1  t, XL, 140, 8
      1  t, XL, 146, 2
      1  t, XL, 158, 2
      1  t, XL, 167, 2
      1  t, XL, 175, 7
      1  t, XL, 188, 7
      1  t, XL, 19, 2
      1  t, XL, 3, 2
      1  t, XL, 39, 8
      1  t, XL, 41, 7
      1  t, XL, 56, 3
      1  t, XL, 57, 2
      1  t, XL, 65, 4
      1  t, XL, 66, 5
      1  t, XL, 72, 1
      1  t, XL, 76, 3
      1  t, XL, 78, 3
      1  t, XL, 8, 5
      1  t, XL, 90, 5
      1  t, XL, 97, 6
      2  t, AE, 100, 6
      2  t, AE, 41, 7
      2  t, AG, 67, 8
      2  t, AG, 73, 2
      2  t, AR, 123, 2
      2  t, AR, 141, 4
      2  t, AR, 146, 2
      2  t, BT, 119, 2
      2  t, BT, 147, 6
      2  t, BT, 17, 4
      2  t, CE, 111, 7
      2  t, CE, 121, 1
      2  t, CE, 130, 7
      2  t, CE, 137, 8
      2  t, CE, 139, 8
      2  t, CE, 153, 6
      2  t, CE, 155, 7
      2  t, CE, 156, 6
      2  t, CE, 157, 2
      2  t, CE, 167, 2
      2  t, CE, 172, 2
      2  t, CE, 173, 7
      2  t, CE, 181, 1
      2  t, CE, 186, 2
      2  t, CE, 201, 6
      2  t, CE, 25, 5
      2  t, CE, 26, 8
      2  t, CE, 35, 2
      2  t, CE, 38, 6
      2  t, CE, 4, 2
      2  t, CE, 58, 4
      2  t, CE, 6, 1
      2  t, CE, 7, 5
      2  t, CE, 92, 7
      2  t, CE, 99, 2
      2  t, CH, 118, 8
      2  t, CH, 128, 2
      2  t, CH, 1, 4
      2  t, CH, 173, 7
      2  t, CH, 178, 7
      2  t, CH, 193, 7
      2  t, CH, 23, 1
      2  t, CH, 71, 6
      2  t, CH, 76, 3
      2  t, CH, 79, 8
      2  t, CS, 103, 1
      2  t, CS, 116, 3
      2  t, CS, 151, 2
      2  t, CS, 168, 8
      2  t, CS, 186, 2
      2  t, CS, 46, 6
      2  t, CS, 56, 3
      2  t, CS, 57, 2
      2  t, CS, 6, 1
      2  t, CS, 62, 1
      2  t, CS, 70, 3
      2  t, CS, 71, 6
      2  t, CS, 83, 3
      2  t, CS, 9, 1
      2  t, CS, 95, 1
      2  t, CY, 146, 2
      2  t, CY, 186, 2
      2  t, CY, 34, 6
      2  t, CY, 38, 6
      2  t, CY, 39, 8
      2  t, CY, 41, 7
      2  t, CY, 78, 3
      2  t, CY, 81, 3
      2  t, CY, 8, 5
      2  t, CY, 90, 5
      2  t, EC, 104, 1
      2  t, EC, 113, 1
      2  t, EC, 114, 1
      2  t, EC, 121, 1
      2  t, EC, 125, 7
      2  t, EC, 130, 7
      2  t, EC, 140, 8
      2  t, EC, 164, 4
      2  t, EC, 170, 6
      2  t, EC, 171, 4
      2  t, EC, 172, 2
      2  t, EC, 177, 1
      2  t, EC, 179, 7
      2  t, EC, 184, 3
      2  t, EC, 190, 7
      2  t, EC, 5, 3
      2  t, EC, 53, 6
      2  t, EC, 54, 7
      2  t, EC, 60, 2
      2  t, EC, 6, 1
      2  t, EC, 64, 3
      2  t, EC, 69, 1
      2  t, EC, 74, 1
      2  t, EC, 7, 5
      2  t, EC, 84, 4
      2  t, EC, 89, 1
      2  t, EE, 110, 8
      2  t, EE, 111, 7
